
[ 66.590364] [AOA] Measurement: 0,1579877985.242224,04:d6:aa:c1:38:97,2,1,2,0,128,993,549,302,84,71,1008,190,941,753,360,919,758,713,631,843,798,13,651,923,722,945,625,356,751,745,408,889,614,317,540,128,576,53,42,47,51,41,49,42,52,23,45,18,37,41,39,46,35,26,14,35,22,4,12,11,26,3,28,22,49,7,2,12,18
[ 66.619568] [AOA] Measurement: 0,1579877985.271427,04:d6:aa:c1:38:97,2,1,2,0,128,453,695,788,951,550,798,650,747,223,488,300,541,76,374,232,574,465,476,336,508,934,614,332,735,720,425,853,594,203,493,210,896,50,33,39,42,42,49,40,51,24,44,21,39,44,39,40,37,21,12,27,22,13,11,16,25,14,26,24,44,16,11,11,19
[ 66.641934] [AOA] Measurement: 0,1579877985.293792,04:d6:aa:c1:38:97,2,1,2,0,128,456,711,350,155,19,967,688,783,674,330,314,599,51,341,254,611,602,434,401,569,909,658,851,547,389,226,331,440,794,942,292,886,50,35,41,47,41,49,39,51,23,45,20,38,43,39,45,37,22,8,30,21,9,11,13,24,8,27,24,47,12,6,11,17
[ 66.671380] [AOA] Measurement: 0,1579877985.323235,04:d6:aa:c1:38:97,2,1,2,0,128,927,500,786,944,495,749,666,754,703,304,301,533,129,466,827,784,487,610,841,658,919,599,282,698,694,383,845,587,242,515,777,256,54,41,47,53,39,50,37,50,21,44,18,37,39,34,47,34,26,15,36,22,1,14,10,26,8,27,23,50,5,0,12,17
[ 66.701075] [AOA] Measurement: 0,1579877985.352931,04:d6:aa:c1:38:97,2,1,2,0,128,954,502,807,944,558,774,669,789,663,311,320,559,118,390,251,591,116,636,362,542,330,408,847,552,311,195,319,414,722,655,449,1004,54,41,45,52,41,51,41,51,23,47,20,38,41,40,48,38,23,14,34,24,4,12,13,26,7,28,24,53,8,1,11,17
[ 66.730835] [AOA] Measurement: 0,1579877985.382696,04:d6:aa:c1:38:97,2,1,2,0,128,520,755,292,107,86,1018,204,957,683,347,884,787,609,573,849,823,136,681,934,776,976,657,431,792,799,412,852,593,282,104,198,596,50,37,41,46,41,49,40,52,26,46,20,40,44,40,44,37,22,9,30,22,11,11,16,24,11,28,26,48,15,9,12,18
[ 66.755253] [AOA] Measurement: 0,1579877985.407108,04:d6:aa:c1:38:97,2,1,2,0,128,972,515,812,949,555,811,180,945,253,506,817,673,100,426,265,579,502,619,239,461,338,391,803,546,150,204,300,361,707,337,459,70,54,41,49,53,40,48,39,52,21,42,16,34,34,35,49,33,29,20,38,21,4,14,9,26,11,30,22,51,0,8,15,15
[ 66.785658] [AOA] Measurement: 0,1579877985.437513,04:d6:aa:c1:38:97,2,1,2,0,128,1007,545,795,942,472,755,597,701,663,283,332,535,137,418,260,616,119,662,868,723,978,697,379,779,853,452,846,603,289,115,436,980,54,41,46,52,42,50,42,53,21,44,18,37,40,38,48,35,27,15,34,22,2,12,12,26,6,29,23,52,5,1,12,15
[ 66.812862] [AOA] Measurement: 0,1579877985.464720,04:d6:aa:c1:38:97,2,1,2,0,128,958,550,720,872,519,756,711,770,708,305,931,781,676,602,829,817,20,781,845,598,354,404,726,463,121,184,817,538,724,302,246,852,52,41,45,50,42,50,43,53,24,45,19,38,42,40,47,38,24,10,34,23,6,12,13,26,8,27,24,51,10,2,12,16
[ 66.835489] [AOA] Measurement: 0,1579877985.487347,04:d6:aa:c1:38:97,2,1,2,0,128,969,519,800,939,562,790,669,757,699,308,894,761,607,552,263,590,508,517,366,525,399,479,379,755,708,402,847,593,726,264,476,94,49,34,37,40,42,48,39,49,23,42,21,40,42,37,37,34,19,12,27,20,14,10,16,21,12,27,22,43,16,14,13,20
